Fold,Model,Accuracy,Train_Rows,Test_Rows
1,Logistic Regression,0.4630738522954092,503,501
1,Random Forest,0.4750499001996008,503,501
1,XGBoost,0.499001996007984,503,501
2,Logistic Regression,0.5149700598802395,1004,501
2,Random Forest,0.499001996007984,1004,501
2,XGBoost,0.5089820359281437,1004,501
3,Logistic Regression,0.4870259481037924,1505,501
3,Random Forest,0.4810379241516966,1505,501
3,XGBoost,0.48303393213572854,1505,501
4,Logistic Regression,0.5269461077844312,2006,501
4,Random Forest,0.5469061876247505,2006,501
4,XGBoost,0.5528942115768463,2006,501
5,Logistic Regression,0.5109780439121756,2507,501
5,Random Forest,0.5129740518962076,2507,501
5,XGBoost,0.5229540918163673,2507,501
